month,active_postings_nsa,active_postings_sa
2022-01,23803965,25557358.246039744
2022-02,24466797,25713640.439953268
2022-03,25190043,25034163.0734676
2022-04,24090410,25036027.933683347
2022-05,29137509,25532568.95544698
2022-06,26004683,25003829.55900533
2022-07,25365499,24891682.4571245
2022-08,23477302,24045181.9997954
2022-09,25097797,23982711.948834043
2022-10,23400509,23386785.193913735
2022-11,23187382,23950929.79983202
2022-12,22707853,23706874.76098169
2023-01,23967251,25113808.664175324
2023-02,22539688,23375440.614156473
2023-03,24504928,24200564.450503152
2023-04,22777414,23108525.61088863
2023-05,21187772,19453383.68006051
2023-06,21506755,21004301.59870323
2023-07,20853449,20614981.457126133
2023-08,21430919,21468569.97765219
2023-09,21514982,20903655.993603963
2023-10,22196551,22256990.695892308
2023-11,18924013,19638583.14780258
2023-12,17562737,18551482.94747146
2024-01,19389639,19837739.25281495
2024-02,18042078,18438105.655373916
2024-03,19388047,19030448.83147036
2024-04,19268388,19100977.5801386
2024-05,18828239,17950481.227017846
2024-06,18858383,18661145.649593268
2024-07,18849946,18734711.386463903
2024-08,20227629,19841516.157997455
2024-09,19717492,19482468.87223734
2024-10,19708409,19815612.169672646
2024-11,18100344,18738767.19278754
2024-12,17578223,18635818.97027055
2025-01,18173881,18181139.61643394
2025-02,18317763,18434923.607136916
2025-03,18249702,17858139.657506667
2025-04,18252208,17671140.87374869
2025-05,17986340,17780169.562275283
2025-06,17359811,17417366.149809476
2025-07,17318122,17289193.548390202
2025-08,17526604,16675012.920886176
2025-09,16539144,16557737.773851829
2025-10,16205056,16250678.965965398
